Date,Timestamp,Open,High,Low,Close,Adj Close,Volume
2017/11/9,1510185600,308.644989,329.4519958,307.0559998,320.8840027,320.8840027,893249984
2017/11/10,1510272000,320.67099,324.7179871,294.5419922,299.2529907,299.2529907,885985984
2017/11/11,1510358400,298.5859985,319.4530029,298.1919861,314.6809998,314.6809998,842300992
2017/11/12,1510444800,314.6900024,319.1530151,298.5130005,307.9079895,307.9079895,1613479936
2017/11/13,1510531200,307.0249939,328.4150085,307.0249939,316.7160034,316.7160034,1041889984
2017/11/14,1510617600,316.7630005,340.177002,316.7630005,337.631012,337.631012,1069680000
2017/11/15,1510704000,337.9639893,340.9119873,329.8129883,333.3569946,333.3569946,722665984
2017/11/16,1510790400,333.4429932,336.1589966,323.6059875,330.9240112,330.9240112,797254016
2017/11/17,1510876800,330.1669922,334.9639893,327.5230103,332.3940125,332.3940125,621732992
2017/11/18,1510963200,331.980011,349.6159973,327.6870117,347.6119995,347.6119995,649638976
2017/11/19,1511049600,347.401001,371.2909851,344.7399902,354.3859863,354.3859863,1181529984
2017/11/20,1511136000,354.0939941,372.1369934,353.2890015,366.730011,366.730011,807027008
2017/11/21,1511222400,367.4429932,372.4700012,350.6929932,360.401001,360.401001,949912000
2017/11/22,1511308800,360.3120117,381.4200134,360.1470032,380.6520081,380.6520081,800819008
2017/11/23,1511395200,381.4389954,425.5480042,376.0880127,410.1659851,410.1659851,1845680000
2017/11/24,1511481600,412.5010071,480.9729919,402.7579956,474.9110107,474.9110107,2292829952
2017/11/25,1511568000,475.6759949,485.1919861,461.053009,466.276001,466.276001,1422080000
2017/11/26,1511654400,465.973999,472.7229919,451.6059875,471.3299866,471.3299866,1197779968
2017/11/27,1511740800,471.5310059,493.4049988,468.4849854,480.355011,480.355011,1396480000
2017/11/28,1511827200,480.5180054,482.480011,466.3469849,472.9020081,472.9020081,1346499968
2017/11/29,1511913600,473.2810059,522.3070068,425.0710144,427.5230103,427.5230103,2675940096
2017/11/30,1512000000,431.2149963,465.4970093,401.2430115,447.1140137,447.1140137,1903040000
2017/12/1,1512086400,445.2090149,472.6090088,428.3120117,466.5400085,466.5400085,1247879936
2017/12/2,1512172800,466.8510132,476.2390137,456.6530151,463.4490051,463.4490051,943649984
2017/12/3,1512259200,463.7049866,482.8139954,451.8519897,465.8529968,465.8529968,990556992
2017/12/4,1512345600,466.0539856,474.7770081,453.3120117,470.20401,470.20401,1005550016
2017/12/5,1512432000,470.2940063,473.5580139,457.6600037,463.2810059,463.2810059,1216720000
2017/12/6,1512518400,462.6040039,462.7080078,420.2099915,428.5880127,428.5880127,1998259968
2017/12/7,1512604800,426.368988,441.3970032,414.4110107,434.4079895,434.4079895,2129570048
2017/12/8,1512691200,434.9890137,466.0620117,422.3670044,456.0310059,456.0310059,2336379904
2017/12/9,1512777600,457.3439941,504.1470032,456.2529907,473.5020142,473.5020142,2003849984
2017/12/10,1512864000,472.7890015,472.7890015,429.5140076,441.7210083,441.7210083,1404179968
2017/12/11,1512950400,440.3580017,516.9689941,439.1040039,515.1359863,515.1359863,1771440000
2017/12/12,1513036800,522.2860107,657.3179932,504.493988,651.4310303,651.4310303,5179829760
2017/12/13,1513123200,644.9060059,747.992981,597.7979736,702.7670288,702.7670288,4524539904
2017/12/14,1513209600,700.5939941,753.1209717,664.9890137,695.815979,695.815979,3821580032
2017/12/15,1513296000,696.3759766,697.132019,621.0609741,684.447998,684.447998,2758710016
2017/12/16,1513382400,686.1920166,718.3850098,680.7860107,696.2089844,696.2089844,2165690112
2017/12/17,1513468800,696.2369995,735.8250122,696.2369995,719.9749756,719.9749756,2147389952
2017/12/18,1513555200,721.7319946,803.9279785,689.2310181,794.6450195,794.6450195,3249230080
2017/12/19,1513641600,793.901001,881.9439697,785.34198,826.822998,826.822998,4096549888
2017/12/20,1513728000,827.5159912,845.0620117,756.0040283,819.0859985,819.0859985,3969939968
2017/12/21,1513814400,820.2360229,880.5430298,792.6890259,821.0629883,821.0629883,3569060096
2017/12/22,1513900800,822.6430054,827.6829834,543.7620239,674.8599854,674.8599854,4977710080
2017/12/23,1513987200,681.315979,763.8950195,679.7310181,719.3870239,719.3870239,2480339968
2017/12/24,1514073600,721.7689819,721.7689819,614.9219971,694.1480103,694.1480103,2300549888
2017/12/25,1514160000,698.8699951,782.5209961,698.8699951,765.8339844,765.8339844,2491760128
2017/12/26,1514246400,763.3699951,786.789978,760.9349976,773.8359985,773.8359985,2201159936
2017/12/27,1514332800,774.9699707,789.2529907,738.4130249,762.84198,762.84198,2100029952
2017/12/28,1514419200,762.2080078,763.3189697,701.1870117,737.0230103,737.0230103,2389149952
2017/12/29,1514505600,740.3889771,770.1170044,729.6079712,753.59198,753.59198,2648969984
2017/12/30,1514592000,753.8150024,753.8150024,685.2310181,717.257019,717.257019,3187780096
2017/12/31,1514678400,712.2119751,760.3480225,710.1190186,756.7329712,756.7329712,2554269952
2018/1/1,1514764800,755.757019,782.5300293,742.0040283,772.6409912,772.6409912,2595760128
2018/1/2,1514851200,772.3460083,914.8300171,772.3460083,884.4439697,884.4439697,5783349760
2018/1/3,1514937600,886,974.4710083,868.4509888,962.7199707,962.7199707,5093159936
2018/1/4,1515024000,961.7130127,1045.079956,946.0859985,980.9219971,980.9219971,6502859776
2018/1/5,1515110400,975.75,1075.390015,956.3250122,997.7199707,997.7199707,6683149824
2018/1/6,1515196800,995.1539917,1060.709961,994.6220093,1041.680054,1041.680054,4662219776
2018/1/7,1515283200,1043.01001,1153.170044,1043.01001,1153.170044,1153.170044,5569880064
2018/1/8,1515369600,1158.26001,1266.930054,1016.049988,1148.530029,1148.530029,8450970112
2018/1/9,1515456000,1146,1320.97998,1145.48999,1299.73999,1299.73999,7965459968
2018/1/10,1515542400,1300.339966,1417.380005,1226.599976,1255.819946,1255.819946,9214950400
2018/1/11,1515628800,1268.089966,1337.300049,1135.170044,1154.930054,1154.930054,7235899904
2018/1/12,1515715200,1158.290039,1296.040039,1120.089966,1273.199951,1273.199951,5222300160
2018/1/13,1515801600,1270.469971,1432.880005,1270.469971,1396.420044,1396.420044,5746760192
2018/1/14,1515888000,1397.47998,1400.560059,1286.209961,1366.77002,1366.77002,4841630208
2018/1/15,1515974400,1365.209961,1390.589966,1290.599976,1291.920044,1291.920044,4781100032
2018/1/16,1516060800,1292.630005,1292.630005,875.5449829,1053.689941,1053.689941,8405139968
2018/1/17,1516147200,1061.339966,1090.22998,780.9219971,1014.25,1014.25,8545160192
2018/1/18,1516233600,1016.440002,1100.310059,967.7589722,1036.280029,1036.280029,5938319872
2018/1/19,1516320000,1028.819946,1093.219971,1003.710022,1039.099976,1039.099976,4084450048
2018/1/20,1516406400,1044.949951,1167.109985,1044.949951,1155.150024,1155.150024,3975190016
2018/1/21,1516492800,1155.680054,1155.680054,1021.5,1049.579956,1049.579956,3378089984
2018/1/22,1516579200,1055.349976,1089.099976,930.7410278,1003.26001,1003.26001,3810099968
2018/1/23,1516665600,1004.169983,1023.22998,920.539978,986.2290039,986.2290039,3556699904
2018/1/24,1516752000,987.4769897,1062.439941,965.8079834,1058.780029,1058.780029,3944039936
2018/1/25,1516838400,1063.219971,1104.660034,1034.73999,1056.030029,1056.030029,4050190080
2018/1/26,1516924800,1052.699951,1080.599976,996.7839966,1055.170044,1055.170044,3617690112
2018/1/27,1517011200,1055.75,1121.97998,1042.119995,1107.069946,1107.069946,3002870016
2018/1/28,1517097600,1111.780029,1257.77002,1111.780029,1246.01001,1246.01001,5372329984
2018/1/29,1517184000,1246.699951,1256.699951,1169.079956,1182.359985,1182.359985,3715079936
2018/1/30,1517270400,1184.130005,1184.630005,1058.969971,1071.130005,1071.130005,4107859968
